IATA,Nome,País,Grau,DC,BC,EC
YOW,Ottawa Macdonald-Cartier International Airport,Canada,52,0.008572370590174745,0.0008947469563300534,0.005659191833616402
YPA,Prince Albert Glass Field,Canada,0,0.0,0.0,3.2879294820093764e-76
YPE,Peace River Airport,Canada,0,0.0,0.0,3.2879294820093764e-76
YPG,Southport Airport,Canada,0,0.0,0.0,3.2879294820093764e-76
YPL,Pickle Lake Airport,Canada,2,0.0003297065611605671,0.0,5.169062032806753e-10
YPN,Port Menier Airport,Canada,4,0.0006594131223211342,0.0,3.640141471584826e-07
YPQ,Peterborough Airport,Canada,0,0.0,0.0,3.2879294820093764e-76
YPR,Prince Rupert Airport,Canada,2,0.0003297065611605671,0.0,0.00017871964794287788
YPY,Fort Chipewyan Airport,Canada,4,0.0006594131223211342,0.0002983667701450573,1.545311179739557e-06
YQA,Muskoka Airport,Canada,0,0.0,0.0,3.2879294820093764e-76
YQB,Quebec Jean Lesage International Airport,Canada,36,0.005934718100890208,0.0013173176944242626,0.004233171021751034
YQF,Red Deer Regional Airport,Canada,6,0.0009891196834817012,0.0,4.282267136171783e-05
YQG,Windsor Airport,Canada,6,0.0009891196834817012,1.8972397336362394e-05,0.00015226408609111283
YQH,Watson Lake Airport,Canada,0,0.0,0.0,3.2879294820093764e-76
YQK,Kenora Airport,Canada,6,0.0009891196834817012,0.0010565831364743252,4.2267547711612245e-06
YQL,Lethbridge County Airport,Canada,2,0.0003297065611605671,0.0,3.936861976886625e-05
YQM,Greater Moncton International Airport,Canada,14,0.0023079459281239697,2.4055260233066933e-05,0.0009850626963003567
YQQ,Comox Airport,Canada,8,0.0013188262446422684,6.14292521206003e-05,0.0002343219260412031
YQR,Regina International Airport,Canada,18,0.002967359050445104,0.0,0.0036463446697351898
YQT,Thunder Bay Airport,Canada,20,0.003297065611605671,0.003657160625806429,0.0004668279098918354
YQU,Grande Prairie Airport,Canada,4,0.0006594131223211342,0.0,0.0002071356320346067
